Bank Type,Asset or Liability,Type,date,value
all,Assets,Bank credit,2019-06-01,13464.3
all,Assets,Bank credit,2019-12-01,13858.4
all,Assets,Bank credit,2020-01-01,13886.9
all,Assets,Bank credit,2020-02-01,13949.9
all,Assets,Bank credit,2020-03-01,14419.9
all,Assets,Bank credit,2020-04-01,14787.4
all,Assets,Bank credit,2020-05-01,14844.5
all,Assets,Bank credit,2020-06-01,14824
all,Assets,Bank credit,2020-07-08,14829.6
all,Assets,Bank credit,2020-07-15,14870.1
all,Assets,Bank credit,2020-07-22,14879.7
all,Assets,Bank credit,2020-07-29,14861.6
all,Assets,Securities in bank credit ,2019-06-01,3653.8
all,Assets,Securities in bank credit ,2019-12-01,3833.3
all,Assets,Securities in bank credit ,2020-01-01,3842.1
all,Assets,Securities in bank credit ,2020-02-01,3871
all,Assets,Securities in bank credit ,2020-03-01,3987.4
all,Assets,Securities in bank credit ,2020-04-01,3989.4
all,Assets,Securities in bank credit ,2020-05-01,4014.6
all,Assets,Securities in bank credit ,2020-06-01,4158.9
all,Assets,Securities in bank credit ,2020-07-08,4244.2
all,Assets,Securities in bank credit ,2020-07-15,4283.8
all,Assets,Securities in bank credit ,2020-07-22,4292
all,Assets,Securities in bank credit ,2020-07-29,4307.3
all,Assets,Treasury and agency securities ,2019-06-01,2824
all,Assets,Treasury and agency securities ,2019-12-01,3006.3
all,Assets,Treasury and agency securities ,2020-01-01,3015.7
all,Assets,Treasury and agency securities ,2020-02-01,3037.8
all,Assets,Treasury and agency securities ,2020-03-01,3149.6
all,Assets,Treasury and agency securities ,2020-04-01,3138.4
all,Assets,Treasury and agency securities ,2020-05-01,3167.2
all,Assets,Treasury and agency securities ,2020-06-01,3293.9
all,Assets,Treasury and agency securities ,2020-07-08,3363.1
all,Assets,Treasury and agency securities ,2020-07-15,3400.3
all,Assets,Treasury and agency securities ,2020-07-22,3406.7
all,Assets,Treasury and agency securities ,2020-07-29,3425.2
all,Assets,Mortgage-backed securities (MBS) ,2019-06-01,1987.3
all,Assets,Mortgage-backed securities (MBS) ,2019-12-01,2083.4
all,Assets,Mortgage-backed securities (MBS) ,2020-01-01,2106.2
all,Assets,Mortgage-backed securities (MBS) ,2020-02-01,2119.8
all,Assets,Mortgage-backed securities (MBS) ,2020-03-01,2177.5
all,Assets,Mortgage-backed securities (MBS) ,2020-04-01,2219.8
all,Assets,Mortgage-backed securities (MBS) ,2020-05-01,2216.5
all,Assets,Mortgage-backed securities (MBS) ,2020-06-01,2222.5
all,Assets,Mortgage-backed securities (MBS) ,2020-07-08,2218.5
all,Assets,Mortgage-backed securities (MBS) ,2020-07-15,2260.3
all,Assets,Mortgage-backed securities (MBS) ,2020-07-22,2276.6
all,Assets,Mortgage-backed securities (MBS) ,2020-07-29,2288.1
all,Assets,Non-MBS ,2019-06-01,836.8
all,Assets,Non-MBS ,2019-12-01,922.9
all,Assets,Non-MBS ,2020-01-01,909.5
all,Assets,Non-MBS ,2020-02-01,918
all,Assets,Non-MBS ,2020-03-01,972.1
all,Assets,Non-MBS ,2020-04-01,918.6
all,Assets,Non-MBS ,2020-05-01,950.6
all,Assets,Non-MBS ,2020-06-01,1071.4
all,Assets,Non-MBS ,2020-07-08,1144.7
all,Assets,Non-MBS ,2020-07-15,1140
all,Assets,Non-MBS ,2020-07-22,1130.1
all,Assets,Non-MBS ,2020-07-29,1137
all,Assets,Other securities,2019-06-01,829.8
all,Assets,Other securities,2019-12-01,827
all,Assets,Other securities,2020-01-01,826.4
all,Assets,Other securities,2020-02-01,833.1
all,Assets,Other securities,2020-03-01,837.8
all,Assets,Other securities,2020-04-01,851
all,Assets,Other securities,2020-05-01,847.4
all,Assets,Other securities,2020-06-01,865
all,Assets,Other securities,2020-07-08,881
all,Assets,Other securities,2020-07-15,883.5
all,Assets,Other securities,2020-07-22,885.3
all,Assets,Other securities,2020-07-29,882.1
all,Assets,Mortgage-backed securities (MBS) ,2019-06-01,77.8
all,Assets,Mortgage-backed securities (MBS) ,2019-12-01,77.5
all,Assets,Mortgage-backed securities (MBS) ,2020-01-01,77
all,Assets,Mortgage-backed securities (MBS) ,2020-02-01,79.6
all,Assets,Mortgage-backed securities (MBS) ,2020-03-01,80.9
all,Assets,Mortgage-backed securities (MBS) ,2020-04-01,81.3
all,Assets,Mortgage-backed securities (MBS) ,2020-05-01,81.8
all,Assets,Mortgage-backed securities (MBS) ,2020-06-01,84.1
all,Assets,Mortgage-backed securities (MBS) ,2020-07-08,86.6
all,Assets,Mortgage-backed securities (MBS) ,2020-07-15,86.5
all,Assets,Mortgage-backed securities (MBS) ,2020-07-22,87
all,Assets,Mortgage-backed securities (MBS) ,2020-07-29,86.5
all,Assets,Non-MBS ,2019-06-01,752
all,Assets,Non-MBS ,2019-12-01,749.5
all,Assets,Non-MBS ,2020-01-01,749.4
all,Assets,Non-MBS ,2020-02-01,753.5
all,Assets,Non-MBS ,2020-03-01,756.9
all,Assets,Non-MBS ,2020-04-01,769.7
all,Assets,Non-MBS ,2020-05-01,765.6
all,Assets,Non-MBS ,2020-06-01,780.9
all,Assets,Non-MBS ,2020-07-08,794.5
all,Assets,Non-MBS ,2020-07-15,797
all,Assets,Non-MBS ,2020-07-22,798.3
all,Assets,Non-MBS ,2020-07-29,795.6
all,Assets,Loans and leases in bank credit ,2019-06-01,9810.5
all,Assets,Loans and leases in bank credit ,2019-12-01,10025.1
all,Assets,Loans and leases in bank credit ,2020-01-01,10044.8
all,Assets,Loans and leases in bank credit ,2020-02-01,10078.9
all,Assets,Loans and leases in bank credit ,2020-03-01,10432.4
all,Assets,Loans and leases in bank credit ,2020-04-01,10798
all,Assets,Loans and leases in bank credit ,2020-05-01,10830
all,Assets,Loans and leases in bank credit ,2020-06-01,10665.1
all,Assets,Loans and leases in bank credit ,2020-07-08,10585.5
all,Assets,Loans and leases in bank credit ,2020-07-15,10586.3
all,Assets,Loans and leases in bank credit ,2020-07-22,10587.8
all,Assets,Loans and leases in bank credit ,2020-07-29,10554.3
all,Assets,Commercial and industrial loans,2019-06-01,2345.2
all,Assets,Commercial and industrial loans,2019-12-01,2354.3
all,Assets,Commercial and industrial loans,2020-01-01,2353.7
all,Assets,Commercial and industrial loans,2020-02-01,2358.5
all,Assets,Commercial and industrial loans,2020-03-01,2581.3
all,Assets,Commercial and industrial loans,2020-04-01,2941.1
all,Assets,Commercial and industrial loans,2020-05-01,3030
all,Assets,Commercial and industrial loans,2020-06-01,2901.3
all,Assets,Commercial and industrial loans,2020-07-08,2827.9
all,Assets,Commercial and industrial loans,2020-07-15,2825.9
all,Assets,Commercial and industrial loans,2020-07-22,2828.2
all,Assets,Commercial and industrial loans,2020-07-29,2811.8
all,Assets,Real estate loans,2019-06-01,4506.9
all,Assets,Real estate loans,2019-12-01,4619.1
all,Assets,Real estate loans,2020-01-01,4632.2
all,Assets,Real estate loans,2020-02-01,4645.5
all,Assets,Real estate loans,2020-03-01,4667.6
all,Assets,Real estate loans,2020-04-01,4686.9
all,Assets,Real estate loans,2020-05-01,4681.7
all,Assets,Real estate loans,2020-06-01,4681.4
all,Assets,Real estate loans,2020-07-08,4700.6
all,Assets,Real estate loans,2020-07-15,4697.7
all,Assets,Real estate loans,2020-07-22,4702
all,Assets,Real estate loans,2020-07-29,4695.2
all,Assets,Residential real estate loans,2019-06-01,2265.3
all,Assets,Residential real estate loans,2019-12-01,2297.3
all,Assets,Residential real estate loans,2020-01-01,2297.1
all,Assets,Residential real estate loans,2020-02-01,2298.8
all,Assets,Residential real estate loans,2020-03-01,2306.3
all,Assets,Residential real estate loans,2020-04-01,2303
all,Assets,Residential real estate loans,2020-05-01,2291.7
all,Assets,Residential real estate loans,2020-06-01,2286.9
all,Assets,Residential real estate loans,2020-07-08,2305.2
all,Assets,Residential real estate loans,2020-07-15,2301.2
all,Assets,Residential real estate loans,2020-07-22,2302.9
all,Assets,Residential real estate loans,2020-07-29,2295.6
all,Assets,Revolving home equity loans,2019-06-01,337.1
all,Assets,Revolving home equity loans,2019-12-01,321.5
all,Assets,Revolving home equity loans,2020-01-01,319.1
all,Assets,Revolving home equity loans,2020-02-01,316.8
all,Assets,Revolving home equity loans,2020-03-01,315.8
all,Assets,Revolving home equity loans,2020-04-01,314.4
all,Assets,Revolving home equity loans,2020-05-01,310.9
all,Assets,Revolving home equity loans,2020-06-01,306.3
all,Assets,Revolving home equity loans,2020-07-08,303.9
all,Assets,Revolving home equity loans,2020-07-15,303.7
all,Assets,Revolving home equity loans,2020-07-22,302.8
all,Assets,Revolving home equity loans,2020-07-29,301.7
all,Assets,Closed-end residential loans ,2019-06-01,1928.2
all,Assets,Closed-end residential loans ,2019-12-01,1975.9
all,Assets,Closed-end residential loans ,2020-01-01,1978
all,Assets,Closed-end residential loans ,2020-02-01,1982
all,Assets,Closed-end residential loans ,2020-03-01,1990.5
all,Assets,Closed-end residential loans ,2020-04-01,1988.6
all,Assets,Closed-end residential loans ,2020-05-01,1980.9
all,Assets,Closed-end residential loans ,2020-06-01,1980.6
all,Assets,Closed-end residential loans ,2020-07-08,2001.2
all,Assets,Closed-end residential loans ,2020-07-15,1997.5
all,Assets,Closed-end residential loans ,2020-07-22,2000
all,Assets,Closed-end residential loans ,2020-07-29,1993.9
all,Assets,Commercial real estate loans,2019-06-01,2241.6
all,Assets,Commercial real estate loans,2019-12-01,2321.7
all,Assets,Commercial real estate loans,2020-01-01,2335
all,Assets,Commercial real estate loans,2020-02-01,2346.7
all,Assets,Commercial real estate loans,2020-03-01,2361.3
all,Assets,Commercial real estate loans,2020-04-01,2383.9
all,Assets,Commercial real estate loans,2020-05-01,2390
all,Assets,Commercial real estate loans,2020-06-01,2394.5
all,Assets,Commercial real estate loans,2020-07-08,2395.5
all,Assets,Commercial real estate loans,2020-07-15,2396.5
all,Assets,Commercial real estate loans,2020-07-22,2399.1
all,Assets,Commercial real estate loans,2020-07-29,2399.6
all,Assets,Construction and land development loans ,2019-06-01,346.4
all,Assets,Construction and land development loans ,2019-12-01,352.3
all,Assets,Construction and land development loans ,2020-01-01,353.8
all,Assets,Construction and land development loans ,2020-02-01,355.2
all,Assets,Construction and land development loans ,2020-03-01,357.3
all,Assets,Construction and land development loans ,2020-04-01,360.5
all,Assets,Construction and land development loans ,2020-05-01,362.9
all,Assets,Construction and land development loans ,2020-06-01,369.1
all,Assets,Construction and land development loans ,2020-07-08,369.1
all,Assets,Construction and land development loans ,2020-07-15,369.6
all,Assets,Construction and land development loans ,2020-07-22,369.9
all,Assets,Construction and land development loans ,2020-07-29,371.5
all,Assets,Secured by farmland ,2019-06-01,103.8
all,Assets,Secured by farmland ,2019-12-01,102.4
all,Assets,Secured by farmland ,2020-01-01,102.3
all,Assets,Secured by farmland ,2020-02-01,102.5
all,Assets,Secured by farmland ,2020-03-01,102.7
all,Assets,Secured by farmland ,2020-04-01,103.5
all,Assets,Secured by farmland ,2020-05-01,103.4
all,Assets,Secured by farmland ,2020-06-01,103
all,Assets,Secured by farmland ,2020-07-08,102.9
all,Assets,Secured by farmland ,2020-07-15,102.5
all,Assets,Secured by farmland ,2020-07-22,102.5
